x1,x2,u
0.860000,-0.340000,-0.088619
0.180000,-0.920000,-1.156404
-0.740000,0.760000,0.335979
0.880000,0.540000,-0.182840
-0.600000,0.540000,0.168102
0.260000,0.600000,0.238462
0.560000,-0.920000,-0.625979
0.400000,0.760000,0.673822
-0.600000,0.400000,0.358184
0.240000,0.840000,0.603729
0.440000,0.600000,0.710265
-0.780000,-0.060000,-0.193128
-0.760000,0.200000,0.153701
-0.580000,-0.660000,-0.527373
-0.160000,0.940000,0.822174
-0.140000,0.740000,0.477206
-0.300000,0.920000,0.931256
0.000000,0.740000,0.975348
0.020000,-0.860000,-0.487874
0.640000,0.700000,0.719680
0.960000,-0.120000,-0.628338
0.280000,0.860000,0.730896
-0.900000,-0.220000,-0.485613
-0.620000,0.040000,-0.206719
0.000000,-0.640000,-0.421135
-0.320000,-0.600000,-0.416309
-0.320000,0.620000,0.412673
-0.560000,0.780000,0.481049
0.660000,0.400000,0.168430
0.720000,-0.580000,-0.301456
0.040000,0.680000,0.645994
0.000000,0.000000,2.179947
